"id","create_uid","create_date","name","kejuruan_id","write_uid","write_date"
74,1,2017-10-15 15:41:55,Penyamakan Kulit,23,1,2017-10-15 15:41:55
75,1,2017-10-15 15:41:55,Finishing Kulit,23,1,2017-10-15 15:41:55
76,1,2017-10-15 15:41:55,Pembuatan Produk Dari Kulit,23,1,2017-10-15 15:41:55
77,1,2017-10-15 15:43:03,Teknik Ukir Logam,24,1,2017-10-15 15:43:03
78,1,2017-10-15 15:43:03,Teknik Ukir Kayu,24,1,2017-10-15 15:43:03
79,1,2017-10-15 15:43:03,Merenda,24,1,2017-10-15 15:43:03
80,1,2017-10-15 15:43:03,Menyulam,24,1,2017-10-15 15:43:03
81,1,2017-10-15 15:43:03,Menenun,24,1,2017-10-15 15:43:03
83,1,2017-10-15 15:43:03,Anyaman,24,1,2017-10-15 15:43:03
84,1,2017-10-15 15:43:46,Pengukuran Produktifitas,25,1,2017-10-15 15:43:46
85,1,2017-10-15 15:43:46,Manajemen Peningkatan Produktifitas,25,1,2017-10-15 15:43:46
86,1,2017-10-15 15:44:26,Pengorganisasian Masyarakat,26,1,2017-10-15 15:44:26
87,1,2017-10-15 15:44:26,Pengembangan Masyarakat,26,1,2017-10-15 15:44:26
88,1,2017-10-15 15:44:55,Metodologi Pelatihan Kerja,27,1,2017-10-15 15:44:55
90,1,2019-04-08 08:26:32,Penyedia Layanan Makanan Dan Minuman,17,1,2019-04-08 08:26:32
89,1,2019-04-05 02:39:53,Juru Las 2 SMAW,6,1,2019-04-05 02:39:53
91,1,2019-04-08 08:27:31,Service Sepeda Motor Konvensional,5,1,2019-04-08 08:27:31
92,1,2019-04-08 08:30:11,Pengoperasian Mesin Bubut,8,1,2019-04-08 08:30:11
93,1,2019-04-08 08:30:51,Menjahit Pakaian Sesuai Style,14,1,2019-04-08 08:30:51
94,1,2019-04-08 08:31:37,Pemrograman Web,13,1,2019-04-08 08:31:37
95,1,2019-04-08 08:32:14,Perakitan Komputer,13,1,2019-04-08 08:32:14
96,1,2019-04-08 08:34:22,Pemeliharaan Kendaraan Ringan Sistem Injeksi,5,1,2019-04-08 08:34:22
98,1,2019-04-08 08:35:22,Perawatan AC Split,10,1,2019-04-08 08:35:22
99,1,2019-04-08 08:35:46,Pembuatan Roti Dan Kue,20,1,2019-04-08 08:35:46
104,1,2019-04-08 08:45:31,Teknik Otomasi,7,1,2019-04-08 08:45:31
100,1,2019-04-08 08:36:07,Teknisi Audio Video,9,1,2019-04-08 08:36:07
101,1,2019-04-08 08:36:22,Rias Pengantin,15,1,2019-04-08 08:36:22
97,1,2019-04-08 08:34:42,Jahit Sepatu 1,24,1,2019-04-08 08:37:01
103,1,2019-04-08 08:37:01,Jahit Sepatu 2,24,1,2019-04-08 08:37:01
102,1,2019-04-08 08:36:38,Drafter,11,1,2019-04-08 08:36:38
82,1,2017-10-15 15:43:03,Teknik Sablon,24,1,2019-04-16 03:30:36
105,6,2019-06-17 00:42:02,Teknisi Telepon Selular,9,6,2019-06-17 00:42:02
106,6,2019-06-17 00:44:55,Membatik ,24,6,2019-06-17 00:44:55
107,6,2019-12-27 01:46:01,Pemasangan Instalasi Kontrol Industri berbasis PLC,7,6,2019-12-27 01:46:01
108,6,2019-12-27 01:46:58,Service Sepeda Motor Konvensional,5,6,2019-12-27 01:46:58
109,6,2020-01-27 07:30:04,Teknik Kendaraan Ringan Mesin Bensin,5,6,2020-01-27 07:30:04
110,6,2020-01-31 00:44:57,Anyaman Rotan Sintetis,,6,2020-01-31 00:44:57
111,6,2020-01-31 00:46:10,Anyaman Rotan Sintetis,24,6,2020-01-31 00:46:10
112,6,2020-01-31 00:46:45,Las SMAW 6G,6,6,2020-01-31 00:46:45
113,6,2020-01-31 00:46:58,Las SMAW 3G,6,6,2020-01-31 00:46:58
114,6,2020-01-31 00:47:17,Souvenir,24,6,2020-01-31 00:47:17
115,6,2020-01-31 00:49:03,Practical Office Advance,13,6,2020-01-31 00:49:03
116,6,2020-01-31 00:49:28,Komputer Operator Asisstant,13,6,2020-01-31 00:49:28
117,6,2020-02-10 04:58:01,Teknisi Akuntansi Yunior,12,6,2020-02-10 04:58:01
119,6,2020-02-10 05:00:14,Pemeliharaan Kendaraan Ringan Konvensional,5,6,2020-02-10 05:00:14
120,6,2020-02-10 05:03:36,Teknisi Telepon Seluluer Perangkat Lunak,9,6,2020-02-10 05:03:36
121,6,2020-02-10 05:03:36,Teknisi Telepon Seluler Perangkat Keras,9,6,2020-02-10 05:03:36
122,6,2020-02-10 05:05:17,Teknisi Pemsangan Jaringan Komputer,13,6,2020-02-10 05:05:17
123,6,2020-02-10 05:06:14,Teknisi Lemari Pendingin,7,6,2020-02-10 05:06:14
125,6,2020-02-10 07:34:44,Food and Baverage,17,6,2020-02-10 07:34:44
126,6,2020-02-10 07:44:15,Drafter Cad Mechanical,8,6,2020-02-11 01:17:32
127,6,2020-02-11 01:18:57,Otomasi PLC,7,6,2020-02-11 01:18:57
128,6,2020-02-11 01:20:53,Pengelola Administrasi Perkantoran,12,6,2020-02-11 01:20:53
133,6,2020-02-11 05:18:13,Wikel,7,6,2020-02-11 05:18:13
134,6,2020-02-13 03:28:40,Operator Menjahit Pakaian Dasar,14,6,2020-02-13 03:28:40
136,6,2020-02-13 03:31:46,Teknisi AC Split,7,6,2020-02-13 03:31:46
135,6,2020-02-13 03:29:38,Tata Kecantikan Kulit dan Rambut,15,6,2020-02-13 03:32:19
137,6,2020-02-13 03:33:06,Akuntansi,12,6,2020-02-13 03:33:06
